Name,Album,Artist,URL
Sick Thoughts,Sick Thoughts,Lou Bliss,https://open.spotify.com/track/4uxJICczweCIPZkIA6AN5k
Mo Bamba,MUDBOY,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
Foot Fungus,STOKELEY,Ski Mask The Slump God,https://open.spotify.com/track/3EikYy40GMSp8l5mDV6IQo
Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://open.spotify.com/track/24HKaFw0tAfvGiq03KRNje
Rasputin,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
Whoopty,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
Streets,Hot Pink,Doja Cat,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
Paparazzi,Paparazzi,Kim Dracula,https://open.spotify.com/track/3rchFjeKZ0bJxO7EEdM3S5
hot girl bummer,hot girl bummer,blackbear,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
Runnin Low,Runnin Low,Kieran Alleyne,https://open.spotify.com/track/04f7fQILKDgLE8aHbF73VO
Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,https://open.spotify.com/track/4KrhaZm4JRkNO4HRdLvJIG
Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,https://open.spotify.com/track/5XH02x5CtyL9hBUhXnRHSl
Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),Ямаджи,https://open.spotify.com/track/4wns4XvrgIzbJpuqI3XDMm
Минимум - The Sumo Remix,Минимум (Remix Pack),Ямаджи,https://open.spotify.com/track/7ynfTMcTrx1qAxDGZpErCZ
Superlife,Superlife,2Scratch,https://open.spotify.com/track/2T2t1nP72WixJKmLJgoWNY
Invincible,Meet The Woo 2,Pop Smoke,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge
How She Walk,How She Walk,TheGrimLynn,https://open.spotify.com/track/4DPOGe8bDiqWMDNmtu1k6K
Arabian Night,Arabian Night,Żwirek,https://open.spotify.com/track/0S18dYlmsel6hdF45rn8t9
Monster,Monster,Besomorph,https://open.spotify.com/track/2HCYh0kf5Xqqijv6h4bh3H
PHONKY TOWN,PHONKY TOWN,PlayaPhonk,https://open.spotify.com/track/0BRbI3ZMPXuj9yA7ChDGOW
Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,https://open.spotify.com/track/0Cp85ha3RN0FDytbku8nzq
Blood // Water,Blood // Water,grandson,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
Fed Up,ANTI-ICON,Ghostemane,https://open.spotify.com/track/0BV0AYGLVlu2SdjN3J9twp
Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,https://open.spotify.com/track/0kEZlJh4mK1QRfb3CT5LPk
Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,https://open.spotify.com/track/3kpYJjvM8Ja6btr5hEJLWc
The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,https://open.spotify.com/track/7MyNaeme4s4l9MfBjRHRe6
Standard,Standard,Linius,https://open.spotify.com/track/3Zz7uGMLSSTDLK9SMnB2Hh
Look At Me!,Look At Me!,XXXTENTACION,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
Scary Garry,Scary Garry,DJ Paul,https://open.spotify.com/track/658QJ4p8WcbT3O7iWLpO1D
Nemesis,Nemesis,Ryllz,https://open.spotify.com/track/3S9b5ink1kHrrKql3FdDI2
New Americana,New Americana,Mostus,https://open.spotify.com/track/1UXrXVbD773QAizCRvPOww
Life Ain't Fair,Life Ain't Fair,B3Y0NDA110DD$,https://open.spotify.com/track/2HP59JGIaJjuTZ6r48qG39
