Name,Album,Artist,URL,Language
Aarambh,Gulaal,Piyush Mishra,https://open.spotify.com/track/1PZZtXR7nsNIyRcqd7UeiF,hindi
Ravan,Ravan,Vilen,https://open.spotify.com/track/3hrW1jobQYQJTaLdcs4m6L,hindi
Ravan,Ravan,Rock D,https://open.spotify.com/track/48NNHSoclZc4uFHQRTQRHX,hindi
Ravan Ravan Hoon Main,Ravan Ravan Hoon Main,Rock D,https://open.spotify.com/track/3jwcf3p3xtgeBAEIJccFku,hindi
Krantiveer Chapter I,Krantiveer Chapter I,Rapperiya Baalam,https://open.spotify.com/track/5OjjGtAxdgV66zsZv9N8vE,hindi
Bharat Ka Baccha Baccha,Bharat Ka Baccha Baccha,Harsh Junwal,https://open.spotify.com/track/3pdQSa3JBrYIuqJOJmFrxl,hindi
Daku (Slowed & Reverb),Daku (Slap House),Shrylox,https://open.spotify.com/track/5Szje6RzjoETtNBoAEfHDQ,hindi
Jai Shri Ram,Jai Shri Ram,Ajay-Atul,https://open.spotify.com/track/5knELFswMvdznw7ubbrveA,hindi
Tera Zikr,Tera Zikr,Darshan Raval,https://open.spotify.com/track/0OfaueVeRebAfWsAHajj3z,hindi
BHARAT KA BACCHA BACCHA (DJ DELS),BHARAT KA BACCHA BACCHA (DJ DELS),DJ DELS OFFICIAL,https://open.spotify.com/track/6EtXzSnNBdNoyUFJPvervr,hindi
