Name,Album,Artist,URL,Language
Aali Thumkat Naar,Aali Thumkat Naar - Mumbai Pune Mumbai 3,Adarsh Shinde,https://open.spotify.com/track/1YzIGXwvbFWzoQ4DuXQfrP,marathi
Zindagi Zindagi,Duniyadari,Say,https://open.spotify.com/track/1tMRlNyuZ4VAl3VpB0MoyP,marathi
Waou Waou,Timepass 2,Vishal Dadlani,https://open.spotify.com/track/4HzNEKOn7qkEnly8fFpocr,marathi
Aala Re Raja,Classmates (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/4azzCrmDh3ohy7qYtPwHCN,marathi
Ye Go Ye Ye Maina,Jatra (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/4fKxzNxlp8vsR8Lm0pPxAV,marathi
,,Various Artists,https://open.spotify.com/track/73XheS5I7cUIBiB8wh2Gw1,marathi
Hi Poli Saajuk,Time Pass (Original Motion Picture Soundtrack),Chinar Mahesh,https://open.spotify.com/track/3UOqQPgNeO5qvxVip9ZfP8,marathi
Baaygo Baaygo,Ringa Ringa (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/1zr2EfkXZQzj0NEEBkXoRO,marathi
Saavdhan,Marathi Rock Album,Various Artists,https://open.spotify.com/track/2aajChBGCuIxh3gxUH7hcu,marathi
Gazal Khari Kay,Narabachi Wadi (Original Motion Picture Soundtrack),Mangesh Dhakde,https://open.spotify.com/track/7LNK4ACoZyes2DP0kii2AR,marathi
DJ Song,Poshter Girl,"Amit raj,Kshitij Patwardhan",https://open.spotify.com/track/600TEqwgBCq07MjjJQcPlY,marathi
,,Various Artists,https://open.spotify.com/track/1LsTEyQJEPORgTbNHATmGw,marathi
Kashyala Lavato,Poshter Girl,"Amit raj,Kshitij Patwardhan",https://open.spotify.com/track/5Gs4H1CRvN1OApl0BcFfXW,marathi
Man Sudhha Tuza,Double Seat (Original Motion Picture Soundtrack),Hrishikesh,https://open.spotify.com/track/3pa0djY0uyeR71F4TUzrLy,marathi
,,Various Artists,https://open.spotify.com/track/631FOECdcXAqNHtuGxmmRJ,marathi
