Name,Album,Artist,URL,Language
Laaree Chootee,Laaree Chootee,WORMONO,https://open.spotify.com/track/0HnbfIzOu6eLF8Kb1mT9Wl,hindi
Agar Tum Saath Ho,Tamasha,A.R. Rahman,https://open.spotify.com/track/3hkC9EHFZNQPXrtl8WPHnX,hindi
You,You,Armaan Malik,https://open.spotify.com/track/52INmBPUsLUQ6to3WnGWUm,hindi
"Jeena Jeena (From ""Badlapur"")","Jeena Jeena (From ""Badlapur"")",Sachin-Jigar,https://open.spotify.com/track/6h09y5UH6sDRERJALlaJPi,hindi
Mast Magan,2 States,Shankar-Ehsaan-Loy,https://open.spotify.com/track/3uL1IBFhg52VcQqOwAG01E,hindi
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,hindi
"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",Rajat Nagpal,https://open.spotify.com/track/5urYiIXu1ZhfMAOsp7WDTc,hindi
"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",Ayushmann Khurrana,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u,hindi
"Humdard (From ""Ek Villain"")",Ultimate Love Songs - Arijit Singh,Arijit Singh,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq,hindi
Humsafar,Badrinath Ki Dulhania,Tanishk Bagchi,https://open.spotify.com/track/6TFESXMfJJWwccviaxGAMa,hindi
"Raataan Lambiyan (From ""Shershaah"")","Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY,hindi
"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",Jasleen Royal,https://open.spotify.com/track/72zHuDxFQTjbL51qJQSA7j,hindi
"Mann Bharryaa 2.0 (From ""Shershaah"")","Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,https://open.spotify.com/track/3jf5303mzzJ96O8xFTcEn4,hindi
Ek Tarfa,Ek Tarfa,Darshan Raval,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os,hindi
Ye Tune Kya Kiya,Once Upon Ay Time In Mumbai Dobaara !,Pritam,https://open.spotify.com/track/2cPUB8EOT6AfJ8oxhyoNXL,hindi
Raabta,Agent Vinod,Pritam,https://open.spotify.com/track/6FjbAnaPRPwiP3sciEYctO,hindi
Play Date X Main Tera,Play Date X Main Tera,Pranish VP,https://open.spotify.com/track/5R5OPt5ndBtQNWLr3Rj7AI,hindi
Mera Mann - Lofi,Mera Mann - Lofi,YSRBEATS,https://open.spotify.com/track/4OrYjHzv5jVoQZdKAbVS32,hindi
Aankhein,Aankhein,Vilen,https://open.spotify.com/track/18oO0TSyS9lIW9sioZyCNN,hindi
"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",Arijit Singh Broken Strings,Arijit Singh,https://open.spotify.com/track/43YkTTlOD203o9E5ZxhUjF,hindi
Tu Aake Dekhle,The Carnival,King,https://open.spotify.com/track/0yCWDaAgOtg6TKlNCg9rwA,hindi
Raanjhanaa - Lofi Flip,Raanjhanaa (Lofi Flip),Silent Ocean,https://open.spotify.com/track/3TEpHcylaJDZyYOiBVzlwN,hindi
Chidiya,Chidiya,Vilen,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC,hindi
"Kaise Hua (From ""Kabir Singh"")","Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC,hindi
Befikar,Befikar,Tanzeel Khan,https://open.spotify.com/track/0Qxis7LXvwqhCO2qOKCmLX,hindi
Jhumritalaiyya,Jagga Jasoos,Pritam,https://open.spotify.com/track/7p9Gp8xvXI1oiXEvPBYMy1,hindi
Aaya Na Tu,Aaya Na Tu,Arjun Kanungo,https://open.spotify.com/track/3T0oPETOdddxJ2xTt2qJe4,hindi
"Bandeya - From ""Dil Juunglee""","Bandeya (From ""Dil Juunglee"")",Shaarib Toshi,https://open.spotify.com/track/6gwnKOvdBKkTU4CQ7KpIAu,hindi
Saibo - Lofi Flip,Saibo (Lofi Flip),VIBIE,https://open.spotify.com/track/1E16f7KcZmuXuhlenRwA2m,hindi
Jo Tu Na Mila,Jo Tu Na Mila,Asim Azhar,https://open.spotify.com/track/6DefzsWqnwrFrmNVnJxWkS,hindi
Dildaara (Stand By Me),Ra-One,Vishal-Shekhar,https://open.spotify.com/track/6ZoCBDOB308GqUdt2AJrV2,hindi
Memories Tu Hi Yaar (HollyBolly) Mashup,Memories Tu Hi Yaar (HollyBolly) Mashup,Sunix Thakor,https://open.spotify.com/track/23DMJfWcrCOEnBXm5nZKVp,hindi
,,Various Artists,https://open.spotify.com/track/4fgJe7zBjVXvs8HxtE21Y9,hindi
,,Various Artists,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi,hindi
,,Various Artists,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95,hindi
Tum Se Hi,Jab We Met,Pritam,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE,hindi
,,Various Artists,https://open.spotify.com/track/324iODOMWqMOneHk6KR6oq,hindi
