Name,Album,Artist,URL,Language
Man Udhan Varyache,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/0iKRUwpIAIWQwPqRscG6dE,marathi
,,Various Artists,https://open.spotify.com/track/1Wf6iktm6AQBRKAGfzB5L6,marathi
,,Various Artists,https://open.spotify.com/track/1r6ASy42iNE0AIDvf1yR4I,marathi
,,Various Artists,https://open.spotify.com/track/2CFVUw5g6so5ATiyJfm4G0,marathi
"Chimbh Bhijalele - From ""Bandh Premache""",Ajay - Atul Hits,Ajay-Atul,https://open.spotify.com/track/3pCg29CErkhjvJfEpuJoZx,marathi
"Ye Go Ye Ye Maina - From ""Jatra""",Ajay - Atul Hits,Ajay-Atul,https://open.spotify.com/track/7Hh31ZGOoFUcfY2e8LHfeV,marathi
,,Various Artists,https://open.spotify.com/track/0KKOkGNYtITCL3fDJLwVUt,marathi
Adhir Man Jhale,Nilkanth Master (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/6yAatyl0x6tBMBgpQ1Vo8R,marathi
,,Various Artists,https://open.spotify.com/track/3m8lQkP1e5xh0ehdVGfgHz,marathi
Dewak Kalji Re,Redu (Original Motion Picture Soundtrack),Vijay Narayan Gavande,https://open.spotify.com/track/04FrYE3TX2ef8BreMNc0S2,marathi
"Aai Bhavani - From ""Savarkhed Ek Gaon""",Ajay - Atul Hits,Ajay-Atul,https://open.spotify.com/track/6Kvt6CeK4WcJZaKMorz6pd,marathi
"Mauli Mauli - From ""Lai Bhari""",Ajay - Atul Hits,Ajay-Atul,https://open.spotify.com/track/6nKnUOjwovFQPP3grvbkNy,marathi
Lallati Bhandar - Ambabaicha Gondhal,Jogwa (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/0kt9xGWGomC6OGFXkwLY5k,marathi
,,Various Artists,https://open.spotify.com/track/52kQS6EanAQeM5CYiMOOtA,marathi
,,Various Artists,https://open.spotify.com/track/1LsTEyQJEPORgTbNHATmGw,marathi
Man Raanat Gela,Jogwa (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/4uAhnLpwcQ5uCVS8uWbUlo,marathi
Chang Bhala Chang Bhala,Tujhya Majhya Sansaarala Ani Kaay Hava,Various Artists,https://open.spotify.com/track/2ow90XwUWVdzipXRdDCmVp,marathi
Gondhal,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/7EahmWx3WvHXV4sn2KZIsH,marathi
Jeev Rangla,Jogwa (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/5ILj64D0dUZjh5QWx0FfMT,marathi
,,Various Artists,https://open.spotify.com/track/1VJCAnj4B6VBg2yW9lcpcl,marathi
"Baaygo Baaygo - From ""Ringa Ringa""",Ajay - Atul Hits,Ajay-Atul,https://open.spotify.com/track/5clzHGXtLse37TfRK3puiq,marathi
Turururu Chalu Nako,Oxygen,Ajay,https://open.spotify.com/track/3iAeZRho9tK7f3zYbgNKXw,marathi
Cham Cham Karta,Best of Vaishali Samant,Vaishali Samant,https://open.spotify.com/track/4mC1aFCcqAgq6Nclzdg1fF,marathi
"Varyavarti Gandh - From ""Savarkhed Ek Gaon""",Ajay - Atul Hits,Ajay-Atul,https://open.spotify.com/track/5tG2nv8GjMZQ0gzqyngyTC,marathi
Shree Ganeshay Dheemahi,Ganesha Symphonic Chants Experience,Ajay-Atul,https://open.spotify.com/track/7sRyejjZ7Ebkgo1sy6Gmfj,marathi
Goryaa Goryaa,Tujhya Majhya Sansaarala Ani Kaay Hava,Various Artists,https://open.spotify.com/track/0rR06YoqX3vfhJZ2TMDTEl,marathi
Galavar Khali,Bedhund,Swapnil Bandodkar,https://open.spotify.com/track/7E1jOSacmWyEfkNsOVIUgE,marathi
