Name,Album,Artist,URL
Lovely Day,The Essential Bill Withers,Bill Withers,https://open.spotify.com/track/1QQRBPMzXbL4z26mnIvgZD
For Once In My Life,For Once In My Life,Stevie Wonder,https://open.spotify.com/track/4kP69y3GKHi9tXckfgp4bK
Don't Worry Be Happy,Simple Pleasures,Bobby McFerrin,https://open.spotify.com/track/4hObp5bmIJ3PP3cKA9K9GY
September,September (sped up + slowed),"Earth, Wind & Fire",https://open.spotify.com/track/3kXoKlD84c6OmIcOLfrfEs
Isn't She Lovely,Songs In The Key Of Life,Stevie Wonder,https://open.spotify.com/track/6RANU8AS5ICU5PEHh8BYtH
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2
I'm a Believer - 2006 Remaster,More of The Monkees (Deluxe Edition),The Monkees,https://open.spotify.com/track/3G7tRC24Uh09Hmp1KZ7LQ2
Superstition - Single Version,The Definitive Collection,Stevie Wonder,https://open.spotify.com/track/1h2xVEoJORqrg71HocgqXd
Three Little Birds,Exodus (Deluxe Edition),Bob Marley & The Wailers,https://open.spotify.com/track/6A9mKXlFRPMPem6ygQSt7z
Sweet Caroline,Sweet Caroline,Neil Diamond,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Greatest,Bee Gees,https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH
Hey Ya!,Speakerboxxx/The Love Below,Outkast,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
One Love / People Get Ready - Medley,Exodus (Deluxe Edition),Bob Marley & The Wailers,https://open.spotify.com/track/2HcyIzVsX45jLIxK7SH2aI
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
Ain't No Mountain High Enough,United,Marvin Gaye,https://open.spotify.com/track/7tqhbajSfrz2F7E1Z75ASX
I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
ABC,The Very Best Of Michael Jackson With The Jackson 5,Michael Jackson,https://open.spotify.com/track/6nzhhT57iQYrbqumru9NNP
"Could You Be Loved - 12"" Mix",Uprising,Bob Marley & The Wailers,https://open.spotify.com/track/3cc66vpbbkDNgtSnWgKked
Beggin (original version),So Dark The Con Of Man,Madcon,https://open.spotify.com/track/1XyL3J7eTTKnxRZAM3LqIT
Memories,JORDI (Deluxe),Maroon 5,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
Celebration - Single Version,Celebration / Morning Star,Kool & The Gang,https://open.spotify.com/track/6pc8xULSlsMdFB3OrqbvZ4
Love Generation - Radio Edit,La Saga Des Hits,Various Artists,https://open.spotify.com/track/3s3DWOPtKQSgJVDRKu85Tt
I Will Survive - Single Version,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,Gloria Gaynor,https://open.spotify.com/track/7cv28LXcjAC3GsXbUvXKbX
We Are Family - 1995 Remaster,We Are Family (1995 Remaster),Sister Sledge,https://open.spotify.com/track/5IKLwqBQG6KU6MP2zP80Nu
Rude,Don't Kill the Magic,MAGIC!,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
Shalala Lala,Greatest Hits!,Vengaboys,https://open.spotify.com/track/6sQ41j7G8kyhirJxBoI6gs
Happy,Happy,Pharrell Williams,https://open.spotify.com/track/6pAh09a7Dp2KiYZSspTLLv
I Feel It Coming,Starboy,The Weeknd,https://open.spotify.com/track/3dhjNA0jGA8vHBQ1VdD6vV
Happy Days (Theme from ''Happy Days''),"Pratt & McClain featuring ""Happy Days""",Pratt & McClain,https://open.spotify.com/track/1CCuMgDauGruOwxrSh9NSW
Just A Cloud Away,Just A Cloud Away,Pharrell Williams,https://open.spotify.com/track/0DGTcMqvVR7fmBXgiG6jz4
Leave The Door Open,Leave The Door Open,Bruno Mars,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
I Got You (I Feel Good),I Got You (I Feel Good),James Brown & The Famous Flames,https://open.spotify.com/track/5haXbSJqjjM0TCJ5XkfEaC
Good Times,Risqué,CHIC,https://open.spotify.com/track/0G3fbPbE1vGeABDEZF0jeG
Wake Me Up Before You Go-Go,Make It Big,Wham!,https://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0
Take on Me,Hunting High and Low,a-ha,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
