Name,Album,Artist,URL,Language
Takkar,Takkar,Varinder Brar,https://open.spotify.com/track/6S8OMxBwZHLiXAQiTlwSv8,hindi
U.P,U.P - Single,Sucha Yaar,https://open.spotify.com/track/0hX1fu4B9CvZqmjVTuh9UJ,hindi
"Dollar - From ""Dakuaan Da Munda""","Dollar (From ""Dakuaan Da Munda"")",Sidhu Moose Wala,https://open.spotify.com/track/7rXDc2ImBGwcypUFbNqbFB,hindi
Tibeyan Da Putt,Tibeyan Da Putt (Original),Sidhu Moose Wala,https://open.spotify.com/track/5zBzcmK4lMd8Nu3bZd89mY,hindi
Sarkar,Sarkar,Jaura Phagwara,https://open.spotify.com/track/2kLnesCk42vUUvRiqU51ls,hindi
Gabru Pinda Wale,Gabru Pinda Wale,Jatinder Dhiman,https://open.spotify.com/track/2mrWPynIumrCKnaQWUy92C,hindi
Vailpuna,Vailpuna,Siippyy Gill,https://open.spotify.com/track/6R6qXM3pwxyJroum6cokIM,hindi
Haan Haige Aa,Haan Haige Aa,Karan Aujla,https://open.spotify.com/track/3XQUm9KbQxla0ZtXh0cdGv,hindi
Gangster Returns,Gangster Returns,Vikas Kumar,https://open.spotify.com/track/5cHTlf6DIK8e3QkLYnNo22,hindi
Next Level,Next Level,Varinder Brar,https://open.spotify.com/track/5ENbqYAkeap6psZ6zSm6pA,hindi
12 Bande,12 Bande,Varinder Brar,https://open.spotify.com/track/6dgYHmc5yBnQFI4FSCbp6y,hindi
Oh Bande,Oh Bande,Dilraj Dhillon,https://open.spotify.com/track/5XR2sB79IcAqIEdVG392lh,hindi
Jail,Jail,Nawab,https://open.spotify.com/track/4hjLwixcESkyGvkVTKixm2,hindi
Goliya,International Villager,Yo Yo Honey Singh,https://open.spotify.com/track/4vp2i2EKdnUxmMU7HeE9w1,hindi
Panga,The Next Level,Diljit Dosanjh,https://open.spotify.com/track/73KdBv1wjbr00x9eucZsit,hindi
Jatt Di Clip 2,Jatt Di Clip 2,Singga,https://open.spotify.com/track/2UcurZDIhgLKKkpGFP7BNF,hindi
Gaddar Banda,Gaddar Banda,R Nait,https://open.spotify.com/track/1VmIKB3qhPrLNFHDcrjf9o,hindi
Hummer,The Folk Star,Nishawn Bhullar,https://open.spotify.com/track/46LCN8xlXfu7zN9ddM1L2g,hindi
Raund,Raund,Manavgeet Gill,https://open.spotify.com/track/7rNeFCvNVncKXbLtF7PiyE,hindi
10 Mint,Dus Mint,Siippyy Gill,https://open.spotify.com/track/1UvBALIHK64KmpnPtEg1DZ,hindi
302,302,Geeta Zaildar,https://open.spotify.com/track/6BnhblW5wir2wPulmrdXes,hindi
Hitler - Reloaded Version,Hitler (Reloaded Version),Guri,https://open.spotify.com/track/4ndlysMyHyaPO93vtfmeHk,hindi
Shoot Da Order - Original,Shoot Da Order (Original),Jagpal Sandhu,https://open.spotify.com/track/7sBju75LRryreIx5xqSuds,hindi
2 Numbari,2 Numbari,Masoom Sharma,https://open.spotify.com/track/1tjptsAQggHoqEdyMQScuJ,hindi
Peshi,Peshi,Zora Randhawa,https://open.spotify.com/track/6Wqq9o4EaYKEeZSuA1UL6l,hindi
Dabda Kithe Aa,Dabda Kithe Aa,R Nait,https://open.spotify.com/track/0UE2xYFHj4C9IL0MDIMcm7,hindi
Defaulter,Defaulter,R Nait,https://open.spotify.com/track/260lfDzVnZHXmIXIvKUNVz,hindi
Underestimate,Underestimate,Geeta Zaildar,https://open.spotify.com/track/0Ig0RHpVJooBDhgbvn7K9S,hindi
Jail 2,Jail 2,Mankirt Aulakh,https://open.spotify.com/track/3WWsCiSZNK7WTzAgWHLr5j,hindi
Jail,Jail - Single,Krishan Chouhan,https://open.spotify.com/track/2aMzceHdN9yA03647oGicE,hindi
Gangster Yaar,Gangster Yaar,Nav Sandhu,https://open.spotify.com/track/5NuIkrTzkIYHfMkO8O2nEw,hindi
Jatt Life,Jatt Life,Varinder Brar,https://open.spotify.com/track/0eFNR4nWuhgvBw6vSDyVHj,hindi
Link Sade,Link Sade,Sultan Singh,https://open.spotify.com/track/6mDmrCrg2WLxSzMjpt5eSw,hindi
2 Number De,2 Number De,Guntaji Dandiwal,https://open.spotify.com/track/1pNXQW1h6JMafhGeZdCajW,hindi
Middle Finger,Middle Finger,Khasa Aala Chahar,https://open.spotify.com/track/1EqUEu8ui4PqMT4bdmDAKS,hindi
UnderGround,UnderGround,Geeta Zaildar,https://open.spotify.com/track/333MIeoCcTtZ5xRqf0cGWm,hindi
Yaar Bathere,Yaar Bathere,Akky,https://open.spotify.com/track/2yqDcuEFIDT18eMdtv8WxV,hindi
Nature,Nature,Kabira,https://open.spotify.com/track/12I1Kl47wtuCMxLZKHTigK,hindi
Gundagardi,Gundagardi,Siippyy Gill,https://open.spotify.com/track/1io0sBpKVLHtQ1tBLK8Eua,hindi
Gunday,Gunday,Devender Ahlawat,https://open.spotify.com/track/0DcPQ5WkVEvaQLwYdZvkls,hindi
Stubborn,Stubborn,Surjit Khan,https://open.spotify.com/track/10ttuLNkvNR1ZHlkS415SL,hindi
Peshi,Peshi,Masoom Sharma,https://open.spotify.com/track/5jpMvjEz3NPVmeQJKyIsMc,hindi
Inaam,Inaam,Masoom Sharma,https://open.spotify.com/track/6sR651uGpEJxhZqqnLdYRh,hindi
Kah Diye,Kah Diye,Manisha Sharma,https://open.spotify.com/track/1DX4Pj3IGtk7LvcVPC6Eoo,hindi
Struggler,Struggler,R Nait,https://open.spotify.com/track/5ZnSvxkCMoSiUiuDGMaldC,hindi
Kaafla,Kaafla,Varinder Brar,https://open.spotify.com/track/1AV3oi9Rl7qZQpD7HtCDvX,hindi
Bhai Tera Gunda,Bhai Tera Gunda,Aman Jaji,https://open.spotify.com/track/4heLFre6z2s1refDSzoEZq,hindi
Don't Bark If You Can't Bite,Don't Bark If You Can't Bite,Siippyy Gill,https://open.spotify.com/track/3o0IgaUTEPckuwYGorlFWb,hindi
Marzi De Faisle,Marzi De Faisle,Himmat Sandhu,https://open.spotify.com/track/0h5Zcm0zIijwa9eg9mP1Fs,hindi
Tiger Alive,Tiger Alive,Siippyy Gill,https://open.spotify.com/track/6dmd8OpX6MdAnvmXE3rpW6,hindi
Proof,Proof,Gagandeep Thamber,https://open.spotify.com/track/3m4cTqoLfMyR2T2yXTPzhU,hindi
Gunday Returns ( Thode Pind Mundeya Da Kaal Pe Jau ),Gunday Returns,Dilpreet Dhillon,https://open.spotify.com/track/07WEjwbGHA79U7Ga41Ghy6,hindi
Badnam Gabru,Badnam Gabru,Masoom Sharma,https://open.spotify.com/track/4yCCEd1y886izPf5uxLqQ3,hindi
Bande O Tere Khas Ne-Jaan,Bande O Tere Khas Ne-Jaan,Barbie Maan,https://open.spotify.com/track/3zLlA0jkYLassQUUVdVsRs,hindi
Tuition Badmashi Kaa,Tuition Badmashi Kaa,Manisha Sharma,https://open.spotify.com/track/6pMiLxGgYk2TiT0H3E1huf,hindi
gangsta life,gangsta life,Candy Sheoran,https://open.spotify.com/track/201RLf76hJZuJh2Td3Lqul,hindi
Bhagatt Aadmi,Bhagatt Aadmi,Various Artists,https://open.spotify.com/track/07vwqeQSwXf8bcByx9BoMr,hindi
Up To U,Up To U,Dhanda Nyoliwala,https://open.spotify.com/track/3Boqgxk2tt9FX35cyfcdmU,hindi
Haryana Hood,Haryana Hood,Irshad Khan,https://open.spotify.com/track/1RdrAqXa2fUj2XytsKaUwl,hindi
Ilzaam,Ilzaam,Himanshu Kaushik,https://open.spotify.com/track/7ocZeT5FWu8L82bIMSrcg4,hindi
Chawal,Mote Peg,Sumit Parta,https://open.spotify.com/track/5iuQy9yZtOghYS7FH94Fa0,hindi
Zila Sonipat,Zila Sonipat,Biru Kataria,https://open.spotify.com/track/77TftkEyqRCky7uerxqpY0,hindi
Court Ki Dhamki,Court Ki Dhamki,Narender Bhagana,https://open.spotify.com/track/471mUMLbnSLGMIVyh5R74k,hindi
"Court Me Goli (feat. Ankit Baliyan, Fiza Choudhary)","Court Me Goli (feat. Ankit Baliyan, Fiza Choudhary)",Rahul Puthi,https://open.spotify.com/track/1UGQjkOWVJQNfvPFS2x0Nm,hindi
"Shikari (feat. Sahil Sangwan, Sheetal Sangwan)","Shikari (feat. Sahil Sangwan, Sheetal Sangwan)",Masoom Sharma,https://open.spotify.com/track/7q50fiLl2mmpdsKDeKgwoc,hindi
Kaana Pe Baal,Kaana Pe Baal,Amanraj Gill,https://open.spotify.com/track/6yMwz5fIfSeQ9zm2BSNamG,hindi
Lafander (feat. Sweta Chauhan),Lafander (feat. Sweta Chauhan),Vipin Mehandipuria,https://open.spotify.com/track/2xWnfopcMsKhZ4raWillPJ,hindi
Bandook,Bandook,Harsh Sandhu,https://open.spotify.com/track/3FZSXomcOuPHAsO8uPbYLw,hindi
Parche,Parche,Karaj Randhawa,https://open.spotify.com/track/2JXUDdFeRTz99i5dTL2JWv,hindi
Bandook Ma Goli,Bandook Ma Goli,Masoom Sharma,https://open.spotify.com/track/0VYiHVAD1giX4DkswA6Lf7,hindi
2 Thikhane,2 Thikhane,Bintu Pabra,https://open.spotify.com/track/3L0D24OsYiep8UTIJD5yOz,hindi
Badmashi,Badmashi,Raj Mawer,https://open.spotify.com/track/5xT3tss28ak2xvyNITKWmD,hindi
Daaku Daaku,Daaku Daaku,Masoom Sharma,https://open.spotify.com/track/7JcAHxj4j1wPfTogzpp7qE,hindi
Pakka Haryane Ka,Pakka Haryane Ka,Narender Bhagana,https://open.spotify.com/track/2uzpcTtpc7GBVYK1JhjsPt,hindi
10 Numbari,10 Numbari,Masoom Sharma,https://open.spotify.com/track/3hpdDdvxPN7uE8uj4KXzib,hindi
Kanpati,Kanpati,Kotti,https://open.spotify.com/track/6xcYil4azKEk57xk6a9hXg,hindi
Oh Banda 2,Oh Banda 2,Bill Jahangir,https://open.spotify.com/track/5mqKR5xgZF7Nf47Mx5rogO,hindi
Jail Byali,Jail Byali,Masoom Sharma,https://open.spotify.com/track/2vFlWXkVpfhQx7xEyguiW9,hindi
Gunday,Gunday,Naveen Chaudhary,https://open.spotify.com/track/4ng0cLBzr7ku7toyWtnRB5,hindi
Teri Life Meri Life,Teri Life Meri Life,R Nait,https://open.spotify.com/track/1dhnxenez4o7to4Lm1mlW3,hindi
Ek Khtola Jail Ke Bhitar,Ek Khtola Jail Ke Bhitar,Masoom Sharma,https://open.spotify.com/track/5IcK0dG0ndf5tcQDNKROvA,hindi
Shooter,Shooter,Jogender Sharma,https://open.spotify.com/track/5KWiFI5qNIfu0GWbGLLEou,hindi
Pittal,Pittal,PS Polist,https://open.spotify.com/track/6RjSbr9cHLEuCwQOrsVz17,hindi
Badmash,Badmash,KD,https://open.spotify.com/track/59NeNxSve36qM7JRHVdD6G,hindi
Gangwarr,Gangwarr,Manisha Sharma,https://open.spotify.com/track/0afklAR8cMsrE6VdHKkOGk,hindi
Diwali,Diwali,B Karm Khazala,https://open.spotify.com/track/2wCZmWmv4R2vWPsftHOP8H,hindi
Ek Tha Gunda,Ek Tha Gunda,Aman Sheoran,https://open.spotify.com/track/71jRaZ5WymfFLOhweZYm3p,hindi
Tihar Jail,Tihar Jail,Vipin Mehandipuria,https://open.spotify.com/track/5kWuHLpKjXcMDyhiClJ5hK,hindi
Yamraaj,Yamraaj,Various Artists,https://open.spotify.com/track/4u14s62jF9xnMB2KTZdXUb,hindi
Over Confidence,Over Confidence,Billa Sonipat Ala,https://open.spotify.com/track/06uSHFvu4crGsylvkgCroZ,hindi
Cheteh Balak,Cheteh Balak,Masoom Sharma,https://open.spotify.com/track/2AXrPHBqLhppBR7KVGAaa4,hindi
Badmashi Meri Jaan,Badmashi Meri Jaan,Masoom Sharma,https://open.spotify.com/track/1YZg011sBIPAyjta1jTY6K,hindi
Gundeyan Di Gaddi,Gundeyan Di Gaddi,R Nait,https://open.spotify.com/track/0BlpqadttxzhD2y3vTjDgd,hindi
Laado,Laado,MC SQUARE,https://open.spotify.com/track/0NuWRfZRWzn1oc9piFhK9n,hindi
