Name,Album,Artist,URL,Language
Ha Khel Sawalyancha,Ha Khel Sawalyancha,Hridaynath Mangeshkar,https://open.spotify.com/track/5mm7FpSOnPAMP9WUUW6gEx,marathi
Dhund Ekant Ha,Anolkhi,Sudhir Phadke,https://open.spotify.com/track/1P8zJblbklwB2Ytf8t1pbZ,marathi
Nabh Utaru Aala,Jait Re Jait,Hridaynath Mangeshkar,https://open.spotify.com/track/5Rwv7gFtoN2pbxBTYBBJ5V,marathi
Jambhul Pikalya Zadakhali,Jait Re Jait,Hridaynath Mangeshkar,https://open.spotify.com/track/6Uyf7emGFVUjHdZrK6AxbF,marathi
Tumhavar Keli Mee Marji Bahaal,Pinjara,Ram Kadam,https://open.spotify.com/track/54JPZx9H7lTpIplgNrBibs,marathi
Mee Raat Takali,Jait Re Jait,Hridaynath Mangeshkar,https://open.spotify.com/track/3dhhUzrnkWJ1aJvVk4bxyG,marathi
Ruperi Valut Madanchya Banaat,Kavi Gaurav Shantaram Nandgaokar,Various Artists,https://open.spotify.com/track/0CgNjq3pzCIo9NY5XN68M6,marathi
,,Various Artists,https://open.spotify.com/track/13ZSQwrx2EDXlAJYwEjak7,marathi
,,Various Artists,https://open.spotify.com/track/2WQwk9YwLmwyOgDHa2WiVk,marathi
Chafa Bolena,Madhughat,Lata Mangeshkar,https://open.spotify.com/track/2IHo7zOfSt7X6L3n723hu9,marathi
Airaneechya Deva Tula,Shradhanjali Lata Ji - Marathi,Lata Mangeshkar,https://open.spotify.com/track/6MFF1WccQhQIfwVbTpExlV,marathi
Chimb Pavasaan Raan Jhala,Ha Saagri Kinara (Marathi Chitrapatantil Geet),Anuradha Paudwal,https://open.spotify.com/track/4FFzxd8toh88M1JJuc4LC1,marathi
Ekach Hya Janmi Janu,Pudhach Paul (Original Motion Picture Soundtrack),Sudhir Phadke,https://open.spotify.com/track/1ncKot6JVbADfRWi29BqKs,marathi
Shoor Amhi Sardar,Maratha Tituka Melvava,Anandghan,https://open.spotify.com/track/0KkTATiLY4n2eZMwRgxSxl,marathi
Pahile Na Mi Tula,Marathi Film & Modern Songs,Various Artists,https://open.spotify.com/track/4lblFY0tKNfo4168uuFbNm,marathi
Saanj Ye Gokuli,Ritu Hirwa (Bhav Geet),Asha Bhosle,https://open.spotify.com/track/2deybzQGIiQpzWCaMQGNsQ,marathi
Runu Jhunu Runu Jhunu Re Bhramara,Shradhanjali Lata Ji - Marathi,Lata Mangeshkar,https://open.spotify.com/track/4ODouTy3SI07XzM96JfjV3,marathi
Kanada Raja Pandharicha,Zala Mahar Pandharinath,Sudhir Phadke,https://open.spotify.com/track/4RlzrSPoT64ZlezASTLMie,marathi
Tujhi Majhi Jodi Jamlee,Majha Pati Karodpati,Kishore Kumar,https://open.spotify.com/track/1ZeGfA89FGshIQPkA3E5PG,marathi
Halu Halu Chal,Mazhi Gani,Avadhoot Gupte,https://open.spotify.com/track/0Gz0zlcF09YbFLRwYK4pCb,marathi
