,Name,Album,Artist,URL
0,APT.,APT.,ROSÉ,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY
1,Die With A Smile,Die With A Smile,Lady Gaga,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
2,Sapphire,Sapphire,Ed Sheeran,https://open.spotify.com/track/4Q0qVhFQa7j6jRKzo3HDmP
3,Espresso,Espresso,Sabrina Carpenter,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
4,Gabriela,Gabriela,KATSEYE,https://open.spotify.com/track/1xOqGUkyxGQRdCvGpvWKmL
5,DAISIES,SWAG,Justin Bieber,https://open.spotify.com/track/5BZsQlgw21vDOAjoqkNgKb
6,luther (with sza),GNX,Kendrick Lamar,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ
7,Rush,Rush,Ayra Starr,https://open.spotify.com/track/1rrqJ9QkOBYJlsZgqqwxgB
8,Move,Move,Adam Port,https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4
9,Just Keep Watching (From F1® The Movie),Just Keep Watching (From F1® The Movie),Tate McRae,https://open.spotify.com/track/2yWlGEgEfPot0lv3OAjuG3
10,Stargazing,Stargazing,Myles Smith,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
11,Taste,Short n' Sweet,Sabrina Carpenter,https://open.spotify.com/track/1d7Ptw3qYcfpdLNL5REhtJ
12,ExtraL (feat. Doechii),ExtraL (feat. Doechii),JENNIE,https://open.spotify.com/track/7AKwWqnoMmvCqBQtcdIECG
13,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP
14,Azizam,Azizam,Ed Sheeran,https://open.spotify.com/track/0GRc3eGTg8HBdWLRGYgqIc
15,That’s So True,The Secret of Us (Deluxe),Gracie Abrams,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad
16,Mystical Magical,Mystical Magical,Benson Boone,https://open.spotify.com/track/221eHga9f9Ne4f8D7WVgPT
17,New Woman (feat. ROSALÍA),New Woman (feat. ROSALÍA),LISA,https://open.spotify.com/track/7ov3TDp5D00Rnu5R1viX4w
18,"Dance The Night (From ""Barbie The Album"")",Your Top Songs,Various Artists,https://open.spotify.com/track/0QOiD5KHfvRm63iqwpute8
19,Ring Ring,Ring Ring,MIRA,https://open.spotify.com/track/4cSp2hlUlAwgurjIqHN592
20,Feel It (From “Invincible”),Feel It (From “Invincible”),d4vd,https://open.spotify.com/track/3SAga35lAPYdjj3qyfEsCF
21,I'm Good (Blue),Silvester Party Hits 2022 / 2023,Various Artists,https://open.spotify.com/track/13NSf2YJVP9RLNBulaVART
22,I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq
23,Carry You Home,20s Country Songs,Various Artists,https://open.spotify.com/track/64w75rrzxCw16mqFvEo8th
24,Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,https://open.spotify.com/track/0V584xEQYJ1NTIdGH7hDVg
25,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE
26,"24/7, 365",bright orange everglow,elijah woods,https://open.spotify.com/track/7DFwy0ki0TfOfdDCr66ahT
27,Made You Look,Hot Summer Party Mix,Summer Hits,https://open.spotify.com/track/5jxLkBlwfgVNgUsoxIr0F0
28,HOT TO GO!,The Rise and Fall of a Midwest Princess,Chappell Roan,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7
