Name,Album,Artist,URL,Language
,,Various Artists,https://open.spotify.com/track/4JQxGJ8jsKW8pOUVoAgOZr,hindi
Jaane Kyun,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,https://open.spotify.com/track/6M2UnI1LnXuXlWU54CKmKx,hindi
Subhanallah,Yeh Jawaani Hai Deewani,Pritam,https://open.spotify.com/track/0GQngE2rOYvlKwEQjTAsP8,hindi
Mera Mann Kehne Laga,Nautanki Saala !,Various Artists,https://open.spotify.com/track/1niVgR76UPobOED5cXfADq,hindi
,,Various Artists,https://open.spotify.com/track/7z8XCViP5KT8O7HqoCsRTV,hindi
Chaudhary,Coke Studio India Season 2: Episode 3,Various Artists,https://open.spotify.com/track/1ID8nD7o3Z7gtd8rsuof7F,hindi
,,Various Artists,https://open.spotify.com/track/6iZVjFRLTOt0GNwrUIO7BS,hindi
"Slow Motion Angreza (From ""Bhaag Milkha Bhaag"")",The Spirit of Bhaag Milkha Bhaag,Shankar-Ehsaan-Loy,https://open.spotify.com/track/2IwpWfnbzpEB8dKOag4G4E,hindi
Senorita,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,https://open.spotify.com/track/3TAhWtQnpoL5Vl9VQPl9fU,hindi
Moti Veraana (From Songs of Faith),Moti Veraana (From Songs of Faith),Amit Trivedi,https://open.spotify.com/track/6qhTVtHIsK8WVf7biagk7O,hindi
,,Various Artists,https://open.spotify.com/track/4c8erEn1DjLoDp0CRLkNnq,hindi
Gallan Goodiyaan,Dil Dhadakne Do,Shankar-Ehsaan-Loy,https://open.spotify.com/track/7hNYvX0qAKrxtVr1jGDmvR,hindi
London Thumakda,Queen,Amit Trivedi,https://open.spotify.com/track/2qJAzSE6uC94oH2NRoPrGl,hindi
Mere Liye Tum Kaafi Ho,Shubh Mangal Zyada Saavdhan,Various Artists,https://open.spotify.com/track/73whmTgxzRFLhPbRMkDnjj,hindi
Chaar Kadam,Pk,Ajay-Atul,https://open.spotify.com/track/0bYDMpQ94LnF38FiOlc8K9,hindi
Woh Din,Chhichhore,Pritam,https://open.spotify.com/track/5qtEWwRUX3GKgpWwDQf9SA,hindi
Maahi Ve,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/7Czm0vv2sYL5z4P51KY66e,hindi
Lazy Lamhe,Thoda Pyaar Thoda Magic,Shankar-Ehsaan-Loy,https://open.spotify.com/track/2IZQG2wYoVncO3hWCD4IyM,hindi
Jutti Meri,Folktales Live Season 1,Neha Bhasin,https://open.spotify.com/track/0BCvIcVWDz3AxO87EMUbfK,hindi
Gulabi Aankhen,Universally SANAM,Sanam,https://open.spotify.com/track/1ccZZf0IQi5y0bHMl2aGDF,hindi
Can't Get Enough (feat. Iceberg Slimm),Storyteller,Raghav,https://open.spotify.com/track/48hJUROArdc4DBuVVpxMx8,hindi
Pretty Woman,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/3rsx3pDYM3a08O0Yu3Tq6V,hindi
You Are My Soniya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit,https://open.spotify.com/track/6SDH3mp9sQCNJDfDDpQTTo,hindi
Rock N Roll Soniye,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/0W1eHrIACKah9l0Q9v611q,hindi
Dhan Te Nan,Kaminey,Vishal Bhardwaj,https://open.spotify.com/track/2BOY77LvMTUOfLcnfFAJGl,hindi
Na Ja,Na Ja,Pav Dharia,https://open.spotify.com/track/32LKwbmh6yVsWoRRF8DIvf,hindi
Jalebi Baby,Jalebi Baby,Tesher,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv,hindi
