Name,Album,Artist,URL,Language
,,Various Artists,https://open.spotify.com/track/4i0rZxkGfN5ICXzWU9xfoZ,marathi
Man Udhan Varyache,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/0iKRUwpIAIWQwPqRscG6dE,marathi
"Khal Khal Goda - From ""Godavari""","Khal Khal Goda (From ""Godavari"")",Rahul Deshpande,https://open.spotify.com/track/7MXDxsnAVS2CFRCoMv13lP,marathi
,,Various Artists,https://open.spotify.com/track/5jRoR9oR6ug3u3jiVznfCq,marathi
,,Various Artists,https://open.spotify.com/track/4SSv2jp8vLqCbq532ZtzTL,marathi
,,Various Artists,https://open.spotify.com/track/2WQwk9YwLmwyOgDHa2WiVk,marathi
Saaj Hyo Tuza,Baban,Various Artists,https://open.spotify.com/track/47nae8IgXGPHeTgn0l0Vdv,marathi
Govyachya Kinaryav,Govyachya Kinaryav,"Shubhangi Kedar, Rajneesh Patel, Pravin Koli",https://open.spotify.com/track/188jpJestqxy1d8FOQcKJh,marathi
Jeev Rangla,Jogwa (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/5ILj64D0dUZjh5QWx0FfMT,marathi
Ayushya,Ayushya,Ajay Kesbhat,https://open.spotify.com/track/3pNgKOWBUHRqHGcH0Cscin,marathi
Ganapati Gajavadana,Ganapati Gajavadana,Tanmay Bhave,https://open.spotify.com/track/0XSjqr6qLNJtRHi8K5BodC,marathi
Shrimant Dagdusheth Ganpati,Shrimant Dagdusheth Ganpati,Mihir Joshi,https://open.spotify.com/track/2KV5Nk9sASJWkWlxMO2JOY,marathi
He Lambodhar Gajmukh Mere Moraya,Morya,Various Artists,https://open.spotify.com/track/5Mmjl5pgacs6J4onkSQ4oO,marathi
Dewak Kalji Re,Redu (Original Motion Picture Soundtrack),Vijay Narayan Gavande,https://open.spotify.com/track/04FrYE3TX2ef8BreMNc0S2,marathi
Adhir Man Jhale,Nilkanth Master (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/6yAatyl0x6tBMBgpQ1Vo8R,marathi
