Name,Album,Artist,URL,Language
Kesariya,Brahmastra (Original Motion Picture Soundtrack),Pritam,https://open.spotify.com/track/4UMIv5jd9gK98a39BQRD9X,hindi
Pasoori,Pasoori,Ali Sethi,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB,hindi
Ishq Wala Love,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar,https://open.spotify.com/track/1hQia6rxgfM1ly2hE3StWp,hindi
"Raataan Lambiyan (From ""Shershaah"")","Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY,hindi
Yaad Piya Ki Aane Lagi,Yaad Piya Ki Aane Lagi,Neha Kakkar,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF,hindi
"Dance Ka Bhoot (From ""Brahmastra"")","Dance Ka Bhoot (From ""Brahmastra"")",Pritam,https://open.spotify.com/track/5OcGETO7eEKjKme4gm0r7y,hindi
Param Sundari,Mimi (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/3KeMulXbLDJBQdY5PZbGEh,hindi
Jhoome Jo Pathaan,Pathaan,Vishal-Shekhar,https://open.spotify.com/track/6FAYpZ4jve8vpvTwUvjK6H,hindi
Jugnu,Jugnu,Badshah,https://open.spotify.com/track/2NTVtNcpC0i1R7LVGaCZCF,hindi
Bijlee Bijlee,Bijlee Bijlee,Harrdy Sandhu,https://open.spotify.com/track/1iZLpuGMr4tn1F5bZu32Kb,hindi
"Besharam Rang (From ""Pathaan"")","Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,https://open.spotify.com/track/0CtZpaOhtzvLV3FfcsVpQo,hindi
"O Saki Saki (From ""Batla House"")","O Saki Saki (From ""Batla House"")",Vishal-Shekhar,https://open.spotify.com/track/4cFwhwH5ydnHgB0Tv3lZsm,hindi
The Disco Song,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar,https://open.spotify.com/track/3UaP2PQwhA31keZXt7oPLA,hindi
Illegal Weapon 2.0,Street Dancer 3D,Various Artists,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw,hindi
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Garmi (From ""Street Dancer 3D"")",Badshah,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF,hindi
