Name,Album,Artist,URL,Language
Nishana Tula Dislana,Navri Mile Navryalla,Various Artists,https://open.spotify.com/track/1wFtSOgdjCtOWZJPPMBS8w,marathi
Ye Jivlaga Ye,Bhannat Raanwara,Various Artists,https://open.spotify.com/track/69y1rpjnIlMTS6JrYJvpsr,marathi
Na Sangtach Aaj He Kale,Top Tamil Movie Song,Bollywood Blast,https://open.spotify.com/track/7pWqJw8FXUvufLQZvs793E,marathi
Hey Chandne Fulani,Shukratara Part 2,Anuradha Paudwal,https://open.spotify.com/track/61MPqIOcSDUYKvldsfFLTS,marathi
Hi Navri Asli,Navri Mile Navryalla,Various Artists,https://open.spotify.com/track/1C21SNrVGrZvh2JA6aSmtA,marathi
Raja Lalkari Ashi De,Are Sansar Sansar,Various Artists,https://open.spotify.com/track/6OX4U8h1AQIRTa4qdEu8Ge,marathi
Choricha Mamla,Gammat Jammat,Arun Paudwal,https://open.spotify.com/track/06qS3rnGsGGfS3NePMiV21,marathi
Chimb Pavsan Raan,Bhannat Raanwara,Various Artists,https://open.spotify.com/track/2dvB4YpMcUD1mGMogyRHX7,marathi
Preeticha Zul Zul Paani,Banya Bapu,Rishi Raaj,https://open.spotify.com/track/4EDy0sUnwbbyDtyzJxNP9R,marathi
Saang Kadhi Kalnar Tula,Apradh,N. Dutta,https://open.spotify.com/track/3d5vOf02mRzybwUpsHSqcB,marathi
Gandh Phulancha Gela Sangun,Bhalu,Vishwanath More,https://open.spotify.com/track/3m8J71qdwM4nkbr675UDuv,marathi
Jhunjur Munjur,Bin Kamacha Navra,Rajendra Vinay,https://open.spotify.com/track/7JryEOq8gBMwE1LLksiryj,marathi
Ek Lajara Na Sajara Mukhda,Chandnachi Choli Ang Ang Jali (Original Motion Picture Soundtrack),Ram Kadam,https://open.spotify.com/track/1FNs3feCNyvCBCO9w16QsA,marathi
Ashi Hi Banavabanavi,Ashi Hi Banavabanavi (Original Motion Picture Soundtrack),Arun Paudwal,https://open.spotify.com/track/0AElOiP9SJ6S9aaww3lYEy,marathi
Manuja Jaag Jara,Ashi Hi Banavabanavi (Original Motion Picture Soundtrack),Arun Paudwal,https://open.spotify.com/track/04AExscvNs2qFKgVxsLqC5,marathi
Hridayi Vasant Phulatana,Ashi Hi Banavabanavi (Original Motion Picture Soundtrack),Arun Paudwal,https://open.spotify.com/track/1HaToYFQ1v9X4Aad0lU17i,marathi
Ranjan Gaavala - Ganpati Song,Ganpati Aarti Ashtavinayak Geete,Various Artists,https://open.spotify.com/track/7dc4mmc16BBDI7v2Kepyg3,marathi
Disate Majla Sukh Chitra Nave,Ashtavinayak (Original Motion Picture Soundtrack),Anil-Arun,https://open.spotify.com/track/3k7oQG1lXPmLTTisrMAFQ0,marathi
Ashtavinayak Tuza Mahima Kasa,Ashtavinayak (Original Motion Picture Soundtrack),Anil-Arun,https://open.spotify.com/track/3RZy857sTmRT00H8TikHBv,marathi
Aga Naach Naach Radhe,Gondhalat Gondhal (Original Motion Picture Soundtrack),Vishwanath More,https://open.spotify.com/track/50L15aprAJwVlpHP3licNj,marathi
"Don Rupe, Don Rupe De Re Mala",Ekapesha Ek,Arun Paudwal,https://open.spotify.com/track/4dAnNkl1CT7dCX8BR4AQdF,marathi
Mee Tar Bholi Adani Thakoo,Pandoo Hawaldar (Original Motion Picture Soundtrack),Raamlaxman,https://open.spotify.com/track/776ooyto55zOK4gYoyaLeC,marathi
Bai Mi Patang Udvit Hote,Lakhat Ashi Dekhni (Original Motion Picture Soundtrack),Sudhir Phadke,https://open.spotify.com/track/2luJOzy0MkyyibrXpI5x9p,marathi
Malyachya Malya Madhi Kon Ga Ubhi,Songadya (Original Motion Picture Soundtrack),Ram Kadam,https://open.spotify.com/track/64Ri7vcsBRLZZ4Sdeoe6iE,marathi
Reshmachya Reghani Lal Kalya,He Naar Nakhayachi,Vaishali Samant,https://open.spotify.com/track/6xgHEi6L5M9ohpN4k0ZlvN,marathi
Dhakkumakum Dhakkumakum,Hamal De Dhamal (Original Motion Picture Soundtrack),Anil Mohile,https://open.spotify.com/track/68BIK359gRn7QRxs1ihDoB,marathi
Manmohana Tu Raja Swapnatala,Hamal De Dhamal (Original Motion Picture Soundtrack),Anil Mohile,https://open.spotify.com/track/3n8GjP4mGxXNeFQQV1wznS,marathi
Ashwini Ye Na,Gammat Jammat,Arun Paudwal,https://open.spotify.com/track/0a6NHDp11hOc6Uxqe3Brht,marathi
Cham Cham Karta,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/6C7wZrNqQXO2vfFp291w1n,marathi
Man Udhan Varyache,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/0iKRUwpIAIWQwPqRscG6dE,marathi
Gondhal,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/7EahmWx3WvHXV4sn2KZIsH,marathi
Ye Go Ye Ye Maina,Jatra (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/4fKxzNxlp8vsR8Lm0pPxAV,marathi
Meri Madhubala,Meri Madhubala,Avadhoot Gupte,https://open.spotify.com/track/0G9uQeadXj2cGbnejEMoet,marathi
"Hil Pori Hila - From ""Aandhala Marto Dola""",Folk Music of India: Maharashtra,Various Artists,https://open.spotify.com/track/6LCcIFcnSqNbqfqg4LEgHH,marathi
