Name,Album,Artist,URL,Language
Hamari Adhuri Kahani (Title Track),Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli,https://open.spotify.com/track/3HiobOOpSpMsi95WBKPBYk,hindi
Ae Dil Hai Mushkil Title Track,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Pritam,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI,hindi
"Pardesiya - From ""Param Sundari""","Pardesiya (From ""Param Sundari"")",Sachin-Jigar,https://open.spotify.com/track/0q84FggW57NXGtLHoetS0Y,hindi
"Agar Tum Saath Ho (From ""Tamasha"")",Love Forever With Arijit Singh,Arijit Singh,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu,hindi
Saiyaara,Saiyaara,Various Artists,https://open.spotify.com/track/5SSZtFWdrmFV4MxtlRA13N,hindi
Tum Hi Ho,Aashiqui 2,Mithoon,https://open.spotify.com/track/56zZ48jdyY2oDXHVnwg5Di,hindi
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,hindi
"Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")","Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")",Tanishk Bagchi,https://open.spotify.com/track/2YRq6fQNSst2avCR6qhzSK,hindi
"Raanjhan (From ""Do Patti"")","Raanjhan (From ""Do Patti"")",Sachet-Parampara,https://open.spotify.com/track/4vHRQnzGcKEtqsLH70tAms,hindi
For A Reason,P-POP CULTURE,Karan Aujla,https://open.spotify.com/track/0cYohCh24y1aMjJmcS9RBl,hindi
Jhol - Acoustic,Jhol - Acoustic,Maanu,https://open.spotify.com/track/44LaY2y6wRRlSRjsqbKnuU,hindi
"Tu Pehli Tu Aakhri (From ""The Ba***ds Of Bollywood"")","Tu Pehli Tu Aakhri (From ""The Ba***ds Of Bollywood"")",Shashwat Sachdev,https://open.spotify.com/track/59NxpNfVn6odonnpGK7yHI,hindi
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,https://open.spotify.com/track/6EivvaEepVTjmDde43eGiB,hindi
"Humdard (From ""Ek Villain"")",Ultimate Love Songs - Arijit Singh,Arijit Singh,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq,hindi
Kashish,Kashish,Ashish Bhatia,https://open.spotify.com/track/3anHs4ijBd3Iw0E0fBPwtH,hindi
Hasi - Male Version,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli,https://open.spotify.com/track/32765xcLM1fd6wQIpkN9A0,hindi
Die With A Smile,Die With A Smile,Lady Gaga,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,hindi
"Kaise Hua (From ""Kabir Singh"")","Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC,hindi
"Preet Re - From ""Dhadak 2""","Preet Re (From ""Dhadak 2"")",Darshan Raval,https://open.spotify.com/track/5IWLDqsSnQgBjXGiryDtTk,hindi
Tera Chehra,Sanam Teri Kasam (Original Motion Picture Soundtrack),Himesh Reshammiya,https://open.spotify.com/track/3trnNo4KeaUlFuUiV7iRCj,hindi
