Name,Album,Artist,URL,Language
Kitida Navyane,Ti Saddhya Kay Karte (Original Motion Picture Soundtrack),Vishwjeet Joshi,https://open.spotify.com/track/3AfiaGRrAIIRs2M8XaLkNp,marathi
Kaakan,Kaakan (Original Motion Picture Soundtrack),Pritesh Mehta,https://open.spotify.com/track/37zbIwkUL3wRRaojDeibEs,marathi
Japle Tula,Japle Tula,Keval Walanj,https://open.spotify.com/track/3QnNa7JHYi7o49ydioEywv,marathi
Tu Punha Bhetana,Tu Punha Bhetana,Amar Giri,https://open.spotify.com/track/56HmBIXmJu8JvuOGupa5jz,marathi
Tu Disate Mala,Tu Disate Mala,Keval Walanj,https://open.spotify.com/track/03cODsoWXEPV4hJEtM0FdS,marathi
Jivhari Lagli,Jivhari,Adarsh Shinde,https://open.spotify.com/track/4RY1tqsPk4DYBeoUq8cobn,marathi
Jeev Ha Sang Na,Tu Hi Re (Original Motion Picture Soundtrack),Amitraj,https://open.spotify.com/track/6l3NhNUKqgMBdGmZgYFy7X,marathi
Haravali Pakhare - rap version,Haravali Pakhare (rap version),Nitesh Shikare Music,https://open.spotify.com/track/2w89pCHvy9I2adJzZIr26h,marathi
Dewak Kalji Re,Redu (Original Motion Picture Soundtrack),Vijay Narayan Gavande,https://open.spotify.com/track/04FrYE3TX2ef8BreMNc0S2,marathi
Dur Dur,Mitwaa (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/7MnTwkdjrWbppgI9pT9hWV,marathi
Saang Na,Classmates (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/1SJLW0BYkHigo4PJ1FcsR6,marathi
Pawalo Pawali,Prem Mhanje Kay Asata,Samirkhan Chand Pathan,https://open.spotify.com/track/1h1vllRLFJYiHzuP2AqZiq,marathi
,,Various Artists,https://open.spotify.com/track/6Ew9TZXznSU6UjfwL5RddY,marathi
,,Various Artists,https://open.spotify.com/track/0NXvhPVvtD8XwmH34h1AsX,marathi
Tujhyavina,Tujhyavina,Keval Walanj,https://open.spotify.com/track/0LBvxGBYKmKN9umTqD8msI,marathi
Mazi Pandhari Chi Maay,Mauli,Ajay-Atul,https://open.spotify.com/track/3OFMlmTLc1wJwc3ipkaTdl,marathi
Adhir Man Jhale,Nilkanth Master (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/6yAatyl0x6tBMBgpQ1Vo8R,marathi
Mituni Lochane,Natsamrat (Original Motion Picture Soundtrack),Ajit Parab,https://open.spotify.com/track/4SwEQyT2KmWxHRuYBYmWNJ,marathi
O Priya,O Priya,Nihar Mayekar,https://open.spotify.com/track/5hURzGkkryt2osX9DzAxs9,marathi
Deva Tujhya Navacha,Lagna Mubarak (Original Motion Picture Soundtrack),Sai Nimbalkar,https://open.spotify.com/track/3hDND8OAClvozB9AGkCEkE,marathi
Ka Asa Deva Ra,Ka Asa Deva Ra,Adarsh Shinde,https://open.spotify.com/track/5A8DHQJThpzJ13RPBf736D,marathi
Saang Na,Classmates (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/1SJLW0BYkHigo4PJ1FcsR6,marathi
,,Various Artists,https://open.spotify.com/track/5S24xMwWE1H1QzRIkBPWqq,marathi
Deva Saang Na,Deva Saang Na,Adarsh Shinde,https://open.spotify.com/track/2xgwo1PHgbrkm6BkMEHgVu,marathi
,,Various Artists,https://open.spotify.com/track/3ccTIJpSmhVMct66aRFkI6,marathi
Ye Duriyan,Ye Duriyan,Harshavardhan Wavre,https://open.spotify.com/track/6Td3Et4Gm9EJnGQGFfmHeI,marathi
O Priya,O Priya,Nihar Mayekar,https://open.spotify.com/track/5hURzGkkryt2osX9DzAxs9,marathi
Natyaasa Naav Apulya,Natsamrat (Original Motion Picture Soundtrack),Ajit Parab,https://open.spotify.com/track/6rEXNls1vYmWFvLRKjazuc,marathi
,,Various Artists,https://open.spotify.com/track/1VJCAnj4B6VBg2yW9lcpcl,marathi
,,Various Artists,https://open.spotify.com/track/1Ihg2fsfpIGIBRfu2vESB0,marathi
Jeev Ha Sang Na,Tu Hi Re (Original Motion Picture Soundtrack),Amitraj,https://open.spotify.com/track/6l3NhNUKqgMBdGmZgYFy7X,marathi
,,Various Artists,https://open.spotify.com/track/1Wf6iktm6AQBRKAGfzB5L6,marathi
"Sunya Sunya - From ""Time Pass 2""",Marathi Top 20 Hits,Various Artists,https://open.spotify.com/track/0GCxxMzaHNB8rAjaltRAi0,marathi
Jeev Rangla,Jogwa (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/5ILj64D0dUZjh5QWx0FfMT,marathi
Roz Mala Visrun Me,Classmates (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/0d30F80EiIm4W55EzIIDYa,marathi
,,Various Artists,https://open.spotify.com/track/6j2YrawQDvGixHeuFlFt8n,marathi
Deva Tujhya Gaabhaaryaalaa,Duniyadari (Original Motion Picture Soundtrack),Samir Saptiskar,https://open.spotify.com/track/2mpuk61zDHhBayMZVA2EUs,marathi
Dur Dur,Mitwaa (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/7MnTwkdjrWbppgI9pT9hWV,marathi
Dewak Kalji Re,Redu (Original Motion Picture Soundtrack),Vijay Narayan Gavande,https://open.spotify.com/track/04FrYE3TX2ef8BreMNc0S2,marathi
