Name,Album,Artist,URL,Language
"Kudi Nu Nachne De (From ""Angrezi Medium"")","Kudi Nu Nachne De (From ""Angrezi Medium"")",Vishal Dadlani,https://open.spotify.com/track/4YIhJmihoXwjtbY4vsV9Nh,hindi
,,Various Artists,https://open.spotify.com/track/4c8erEn1DjLoDp0CRLkNnq,hindi
Patakha Guddi,Highway,A.R. Rahman,https://open.spotify.com/track/7jpmNt5iCtSdXuT1xEGp8O,hindi
Nadaan Parinde,Rockstar,A.R. Rahman,https://open.spotify.com/track/6Z394Nd4gW6Ts9hmu3NUjx,hindi
Dil Chahta Hai,Dil Chahta Hai,Shankar-Ehsaan-Loy,https://open.spotify.com/track/2r1CHpKRDdzHGJScn5UqjX,hindi
Sinbad The Sailor,Rock On,Shankar-Ehsaan-Loy,https://open.spotify.com/track/03VTytguq5MS6e3x03y5i1,hindi
Love You Zindagi,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,https://open.spotify.com/track/6k3XXCE1ZzwevQlxf8dNaw,hindi
Kun Faya Kun,Rockstar,A.R. Rahman,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6,hindi
Gal Mitthi Mitthi,Aisha (Original Motion Picture Soundtrack),Amit Trivedi,https://open.spotify.com/track/4J9n7thOdqi8gxRGNyQoVC,hindi
Raghupati Raghav,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),Jatin-Lalit,https://open.spotify.com/track/307KPUfJ7GREExZZlzTRUc,hindi
"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Pritam,https://open.spotify.com/track/2zZTXtLqCsICzEcztKjn47,hindi
Dance Pe Chance,Rab Ne Bana Di Jodi,Salim–Sulaiman,https://open.spotify.com/track/5EqggGHTuqiUfruO2gMHhI,hindi
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf,hindi
Chhalka Chhalka Re,Saathiya,A.R. Rahman,https://open.spotify.com/track/7vRIIW5wK7jNxjhEVXJeIV,hindi
Iktara,Wake Up Sid (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/3jtKSUiVDowKNBqVQbWaig,hindi
Ankahee,Lootera,Amit Trivedi,https://open.spotify.com/track/08P8lJZE9PvvTiUHlIRbiv,hindi
Oo Oo Jaane Jaana,Oo Oo Jaane Jaana,Swapneel Jaiswal,https://open.spotify.com/track/0253ZnhVDBBogVLWhxhvAW,hindi
Dil Dooba,Khakee,Ram Sampath,https://open.spotify.com/track/6cUaCs1lKfDOyFKMkBF8ch,hindi
Wo Ajnabee,The Train,Mithoon,https://open.spotify.com/track/0ZNg3I2kga2XnqKp1Y9PeZ,hindi
Chup Chup Ke,Bunty Aur Babli,Shankar-Ehsaan-Loy,https://open.spotify.com/track/2C6l8EGcbfcLXu0mWfAadB,hindi
Khwaja Mere Khwaja,Jodhaa Akbar (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/4Zuei1UAP5pB5ovra9dnnp,hindi
Jo Bhi Main,Rockstar,A.R. Rahman,https://open.spotify.com/track/2MmAYegcUty1DmG0Gw7AMh,hindi
Katiya Karun,Rockstar,A.R. Rahman,https://open.spotify.com/track/1qPhMBWYNCxVwMGARrySde,hindi
Saudebazi (Encore),Aakrosh,Pritam,https://open.spotify.com/track/1tPPINau3vBP8Q89JTn0ER,hindi
Meri Mehbooba,Pardes (Original Motion Picture Soundtrack),Nadeem Shravan,https://open.spotify.com/track/3CVsfCGtVJGLH9UQMKmBMC,hindi
Uyirin Uyire,Kaakha Kaakha (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/7LuYc1yBvfvvLC1O7Ng4v4,hindi
Aasman Ke,Top of the Pops,Various Artists,https://open.spotify.com/track/6nIwyjPtaHh3sYbRq1KWmy,hindi
Pyaar Ke Pal,Pal,KK,https://open.spotify.com/track/6GWchpKWsKkwR6jcl0yG6V,hindi
Pasoori,Pasoori,Ali Sethi,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB,hindi
Laaree Chootee,Dhoom,Call,https://open.spotify.com/track/3juoXpZ1CRCbWHnWk5rVbV,hindi
Dholna,Dil To Pagal Hai,Uttam Singh,https://open.spotify.com/track/6O8ZM3IKYcSBzpnuxpCAQr,hindi
