Name,Album,Artist,URL,Language
Pinnak,Pinnak,SAMBATA,https://open.spotify.com/track/4kw1Tl4ryNxjTtAdFJkD19,marathi
Nako Raste Changle,Nako Raste Changle,SAMBATA,https://open.spotify.com/track/1ifCf49RKM4vYxfcqysvtU,marathi
Aai Aaj Khup Kahi Sangaychay,Aai Aaj Khup Kahi Sangaychay,SHAMBHO,https://open.spotify.com/track/4Yf3ve8Qq6vmK79f6t8omW,marathi
Shiv Shambho,Shiv Shambho,SHAMBHO,https://open.spotify.com/track/5G73395EiJwLFy7TBmmwAR,marathi
Nalayak,Nalayak,Rocksun,https://open.spotify.com/track/5SNrKAzkp27QpiDBipmrTN,marathi
Gentleman,Gentleman,SHAMBHO,https://open.spotify.com/track/2mKMTekhuD2vnv7o58jEv3,marathi
Palti Fire,Palti Fire,SAMBATA,https://open.spotify.com/track/2pwf8HFKgxJxlUfMYQiPNc,marathi
Rum Pum,Rum Pum,SHAMBHO,https://open.spotify.com/track/5gc2HGqyXV5mIZGpG1OiB0,marathi
Rageel,Rageel,Mc Dido,https://open.spotify.com/track/4waTAhhAhKamNGZ4pbZV63,marathi
Danka,Danka,SHAMBHO,https://open.spotify.com/track/1V8tsp6KsOD2xv16j7MrI2,marathi
,,Various Artists,https://open.spotify.com/track/3WxDcnT96512rDVuQVmCKy,marathi
Kaarte Nibaar,Kaarte Nibaar,SAMBATA,https://open.spotify.com/track/18wz3RGx51k0HAtNbTY73Q,marathi
Bhau,Bhau,SHAMBHO,https://open.spotify.com/track/47jmgEHtcmGmWdcDBp6iBI,marathi
Yedzawa,Yedzawa,Mc Dido,https://open.spotify.com/track/0OXRnJClawK18Pry3JDK9n,marathi
Tan Tan Bhan Bhan,Tan Tan Bhan Bhan,SHAMBHO,https://open.spotify.com/track/15EWFmKWIimIYv38TLohnu,marathi
Gavran Munde Khaas re Tv,Gavran Munde Khaas re Tv,Music Niru,https://open.spotify.com/track/20KfzmKFDMeswMw6Cp8cwN,marathi
Ektach,Ektach,SHAMBHO,https://open.spotify.com/track/35zZX4kVzhZfabyy3L5UfU,marathi
Gangsta Bandya,Gangsta Bandya,SHAMBHO,https://open.spotify.com/track/56KJdLjuT7k2OoUa5dLACW,marathi
Mulshi Pattern,Mulshi Pattern,Subodh Su2,https://open.spotify.com/track/4HnUjXlF6B5g6sAVwg0svB,marathi
Sagle Tangto,Sagle Tangto,MC GAWTHI,https://open.spotify.com/track/2AcEfcxHurgkkKmEIAinZk,marathi
Most Wanted,Most Wanted,MC GAWTHI,https://open.spotify.com/track/6SnZ1OAfAviRA7xOWEWSyd,marathi
Kir Kiri,Kir Kiri,SHAMBHO,https://open.spotify.com/track/6M3myC4THQZLGuLvZ6e3PF,marathi
Barakhadi,Barakhadi,SHAMBHO,https://open.spotify.com/track/1OfDnxemN3YlUJwPxZOYHo,marathi
Sayco Chi Treep,Sayco Chi Treep,Mc Sayco,https://open.spotify.com/track/0lnDI2gLogcVdbYHWhHWyf,marathi
Sapna,Sapna,Deeplie,https://open.spotify.com/track/3JCubtvDYZwKod3lbPxjSY,marathi
Puneri Drill,Puneri Drill,HotFix,https://open.spotify.com/track/5YPC6QxZzs3blGURoBXMZz,marathi
Taj Ka Ekka,Taj Ka Ekka,Mc Sayco,https://open.spotify.com/track/129VxUA67m1TTXhazuKyMA,marathi
Rx100,Rx100,MC GAWTHI,https://open.spotify.com/track/7i6WQRhgwXqWJ3CnpJIu0U,marathi
Gulabachya Phula,Gulabachya Phula,Rocksun,https://open.spotify.com/track/28LwuzM664mHiITSQQopXs,marathi
Shoorveer III,Shoorveer III,Rapperiya Baalam,https://open.spotify.com/track/4BLqBzCkmC4rA9pYzjr0Hq,marathi
